id,name,email,phone,friends
0,Ece Ünal,ece@gmail.com,0555 555 5555,"ahmet:8|ayşe:7|betül:9"
2,Arda Öngül,arda@gmail.com,0511 111 1111,"ahmet:3|tuğba:1|ömer:10"
3,Ayşe Yılmaz,ayse@gmail.com,0544 444 4784,"ece:8|betül:3|ahmet:1|ömer:4"
4,Bade Atasoy,bade@gmail.com,0511 111 7825,"ece:7"
5,Betül Aras,betul@gmail.com,0544 485 4444,"emre:3|ayşe:7|arda:5"
6,Emre Arlı,emre@gmail.com,0511 111 7410,"tuğba:10|ömer:1|bade:8"
7,Ömer Boz,omer@gmail.com,0544 855 4448,"ahmet:3|betül:1"
8,Tuğba Akyıldız,tugba@gmail.com,0511 111 0000,"emre:8|ece:9"
9,Test Kullanıcı,test@example.com,1234567890,"1,2"

10,Test Kullanıcı,test@example.com,1234567890,"1,2"

11,Test Kullanıcı,test@example.com,1234567890,"1,2"

12,Test Kullanıcı,test@example.com,1234567890,"1,2"

13,Test Kullanıcı,test@example.com,1234567890,"1,2"

14,Test Kullanıcı,test@example.com,1234567890,"7"

15,Test Kullanıcı,test@example.com,1234567890,"7"
